15:28:06 RAW: ,100,1,1779348486,4.328125
15:28:09 RAW: ,100,1,1779348489,4.156250
15:28:12 RAW: ,100,1,1779348492,4.156250
15:28:15 RAW: ,100,1,1779348495,4.156250
15:28:18 RAW: ,100,1,1779348498,4.156250
15:28:21 RAW: ,100,1,1779348501,4.156250
15:28:24 RAW: ,100,1,1779348504,4.328125
15:28:27 RAW: ,100,1,1779348507,4.328125
15:28:30 RAW: ,100,1,1779348510,4.156250
15:28:33 RAW: ,100,1,1779348513,4.328125
15:28:36 RAW: ,100,1,1779348516,4.328125
15:28:39 RAW: ,100,1,1779348519,4.156250
15:28:42 RAW: ,100,1,1779348522,4.156250
15:28:45 RAW: ,100,1,1779348525,4.328125
15:28:48 RAW: ,100,1,1779348528,4.156250
15:28:51 RAW: ,100,1,1779348531,4.156250
15:28:54 RAW: ,100,1,1779348534,4.156250
15:28:57 RAW: ,100,1,1779348537,4.156250
15:29:00 RAW: ,100,1,1779348540,4.156250
15:29:03 RAW: ,100,1,1779348543,4.156250
15:29:06 RAW: ,100,1,1779348546,4.156250
15:29:09 RAW: ,100,1,1779348549,4.156250
15:29:12 RAW: ,100,1,1779348552,4.156250
15:29:17 RAW: ,100,1,1779348557,4.156250
15:29:20 RAW: ,100,1,1779348560,4.328125
15:29:23 RAW: ,100,1,1779348563,4.156250
15:29:26 RAW: ,100,1,1779348566,4.156250
15:29:29 RAW: ,100,1,1779348569,4.156250
15:29:32 RAW: ,100,1,1779348572,4.156250
15:29:35 RAW: ,100,1,1779348575,4.156250
