[2026-05-21 13:33:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 13:34:01] SENSOR #1 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 13:34:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 13:35:01] SENSOR #1 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 13:35:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 13:36:01] SENSOR #1 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 13:36:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 13:37:01] SENSOR #1 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 13:37:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 13:38:01] SENSOR #1 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 13:38:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 13:39:01] SENSOR #1 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 13:39:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 13:40:01] SENSOR #1 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 13:40:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 13:41:01] SENSOR #1 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 13:41:01] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 13:43:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:44:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:45:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:45:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:46:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:46:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:47:01] SENSOR #1 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:47:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:49:02] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:49:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:50:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:50:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:51:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:52:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:53:01] SENSOR #1 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 13:55:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:57:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 13:59:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 14:00:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 14:01:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 14:02:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 14:03:02] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 14:04:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 14:05:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 14:06:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
[2026-05-21 14:07:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 14:08:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 14:09:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 14:10:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 14:11:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 14:12:01] SENSOR #2 OVERSTAY — Occupied for 0.2 hours
[2026-05-21 14:13:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 14:14:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 14:15:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 14:16:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 14:17:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 14:18:01] SENSOR #2 OVERSTAY — Occupied for 0.3 hours
[2026-05-21 14:19:02] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 14:20:01] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 14:21:01] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 14:22:01] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 14:23:01] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 14:24:01] SENSOR #2 OVERSTAY — Occupied for 0.4 hours
[2026-05-21 14:25:01] SENSOR #2 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 14:26:01] SENSOR #2 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 14:27:01] SENSOR #2 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 14:28:01] SENSOR #2 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 14:29:01] SENSOR #2 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 14:30:01] SENSOR #2 OVERSTAY — Occupied for 0.5 hours
[2026-05-21 14:31:01] SENSOR #2 OVERSTAY — Occupied for 0.6 hours
[2026-05-21 14:32:01] SENSOR #2 OVERSTAY — Occupied for 0.6 hours
[2026-05-21 14:33:01] SENSOR #2 OVERSTAY — Occupied for 0.6 hours
[2026-05-21 14:34:01] SENSOR #2 OVERSTAY — Occupied for 0.6 hours
[2026-05-21 14:35:01] SENSOR #2 OVERSTAY — Occupied for 0.6 hours
[2026-05-21 14:36:01] SENSOR #2 OVERSTAY — Occupied for 0.6 hours
[2026-05-21 14:37:01] SENSOR #2 OVERSTAY — Occupied for 0.7 hours
[2026-05-21 14:38:02] SENSOR #2 OVERSTAY — Occupied for 0.7 hours
[2026-05-21 14:39:01] SENSOR #2 OVERSTAY — Occupied for 0.7 hours
[2026-05-21 14:40:01] SENSOR #2 OVERSTAY — Occupied for 0.7 hours
[2026-05-21 14:41:01] SENSOR #2 OVERSTAY — Occupied for 0.7 hours
[2026-05-21 14:42:01] SENSOR #2 OVERSTAY — Occupied for 0.7 hours
[2026-05-21 14:43:01] SENSOR #2 OVERSTAY — Occupied for 0.8 hours
[2026-05-21 14:44:01] SENSOR #2 OVERSTAY — Occupied for 0.8 hours
[2026-05-21 14:45:01] SENSOR #2 OVERSTAY — Occupied for 0.8 hours
[2026-05-21 14:46:01] SENSOR #2 OVERSTAY — Occupied for 0.8 hours
[2026-05-21 14:47:01] SENSOR #2 OVERSTAY — Occupied for 0.8 hours
[2026-05-21 14:48:01] SENSOR #2 OVERSTAY — Occupied for 0.8 hours
[2026-05-21 14:49:01] SENSOR #2 OVERSTAY — Occupied for 0.9 hours
[2026-05-21 14:50:01] SENSOR #2 OVERSTAY — Occupied for 0.9 hours
[2026-05-21 14:51:01] SENSOR #2 OVERSTAY — Occupied for 0.9 hours
[2026-05-21 14:52:01] SENSOR #2 OVERSTAY — Occupied for 0.9 hours
[2026-05-21 14:53:02] SENSOR #2 OVERSTAY — Occupied for 0.9 hours
[2026-05-21 14:54:01] SENSOR #2 OVERSTAY — Occupied for 0.9 hours
[2026-05-21 14:55:01] SENSOR #2 OVERSTAY — Occupied for 1.0 hours
[2026-05-21 14:56:01] SENSOR #2 OVERSTAY — Occupied for 1.0 hours
[2026-05-21 14:57:01] SENSOR #2 OVERSTAY — Occupied for 1.0 hours
[2026-05-21 14:59:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 15:00:01] SENSOR #2 OVERSTAY — Occupied for 0.0 hours
[2026-05-21 15:01:01] SENSOR #2 OVERSTAY — Occupied for 0.1 hours
